FC switch,Site,Switch domain,6510 port,6520 port,G620 port,Connects to...
FC_switch_A_2,A,6,24,48,18,controller_A_3 port FC-VI b
FC_switch_A_2,A,6,25,49,19,controller_A_3 port FC-VI d
FC_switch_A_2,A,6,28,52,22,controller_A_4 port FC-VI b
FC_switch_A_2,A,6,29,53,23,controller_A_4 port FC-VI d
FC_switch_B_2,B,8,24,48,18,controller_B_3 port FC-VI b
FC_switch_B_2,B,8,25,49,19,controller_B_3 port FC-VI d
FC_switch_B_2,B,8,28,52,22,controller_B_4 port FC-VI b
FC_switch_B_2,B,8,29,53,23,controller_B_4 port FC-VI d
